,elementwise_accuracy,full_sequence_accuracy,teacher_forcing_accuracy,trial,noise level,model
84,0.28165,0.00175,0.478895,4,0.32653061224489793,Transformer
85,0.283955,0.00245,0.50023,0,0.3469387755102041,Transformer
86,0.36407,0.00845,0.582,1,0.3469387755102041,Transformer
87,0.214815,0.00035,0.401325,2,0.3469387755102041,Transformer
88,0.372325,0.0102,0.59149,3,0.3469387755102041,Transformer
89,0.26467,0.00125,0.48642,4,0.3469387755102041,Transformer
90,0.236645,0.0006,0.453525,0,0.36734693877551017,Transformer
91,0.27147,0.00165,0.48766,1,0.36734693877551017,Transformer
92,0.269725,0.00455,0.5006,2,0.36734693877551017,Transformer
93,0.255905,0.00085,0.464665,3,0.36734693877551017,Transformer
94,0.294035,0.00505,0.504165,4,0.36734693877551017,Transformer
95,0.324055,0.0018,0.542575,0,0.3877551020408163,Transformer
96,0.21402,0.0003,0.427785,1,0.3877551020408163,Transformer
97,0.235835,0.0008,0.46446,2,0.3877551020408163,Transformer
98,0.2279,0.0001,0.41278,3,0.3877551020408163,Transformer
99,0.30262,0.00095,0.497415,4,0.3877551020408163,Transformer
100,0.258295,0.0005,0.46233,0,0.4081632653061224,Transformer
101,0.25258,0.0005,0.454095,1,0.4081632653061224,Transformer
102,0.22466,0.00055,0.43636,2,0.4081632653061224,Transformer
103,0.207635,0.0002,0.420285,3,0.4081632653061224,Transformer
104,0.20458,0.0002,0.424265,4,0.4081632653061224,Transformer
105,0.23899,0.00055,0.441725,0,0.42857142857142855,Transformer
106,0.195655,0.0002,0.401885,1,0.42857142857142855,Transformer
107,0.23819,0.0005,0.44755,2,0.42857142857142855,Transformer
108,0.229105,0.0007,0.44536,3,0.42857142857142855,Transformer
109,0.174145,0.0001,0.382555,4,0.42857142857142855,Transformer
110,0.26234,0.0016,0.494425,0,0.44897959183673464,Transformer
111,0.168845,0.0,0.374905,1,0.44897959183673464,Transformer
112,0.20257,0.00015,0.406145,2,0.44897959183673464,Transformer
113,0.20276,0.0001,0.427975,3,0.44897959183673464,Transformer
114,0.1863,0.00015,0.38016,4,0.44897959183673464,Transformer
115,0.215885,0.0001,0.41988,0,0.4693877551020408,Transformer
116,0.17853,5e-05,0.38592,1,0.4693877551020408,Transformer
117,0.250925,0.00055,0.465765,2,0.4693877551020408,Transformer
118,0.26192,0.0008,0.46507,3,0.4693877551020408,Transformer
119,0.205695,0.0003,0.406535,4,0.4693877551020408,Transformer
120,0.15749,0.0,0.36519,0,0.4897959183673469,Transformer
121,0.163225,5e-05,0.361155,1,0.4897959183673469,Transformer
122,0.19294,0.0,0.392595,2,0.4897959183673469,Transformer
123,0.112875,0.0,0.29976,3,0.4897959183673469,Transformer
124,0.201495,0.0002,0.3849,4,0.4897959183673469,Transformer
125,0.17316,0.0,0.365605,0,0.5102040816326531,Transformer
126,0.187565,0.00015,0.37942,1,0.5102040816326531,Transformer
127,0.147495,0.0,0.34684,2,0.5102040816326531,Transformer
128,0.180865,0.0001,0.385055,3,0.5102040816326531,Transformer
129,0.190805,0.00015,0.386615,4,0.5102040816326531,Transformer
130,0.211455,0.0001,0.40881,0,0.5306122448979591,Transformer
131,0.21283,0.0002,0.417015,1,0.5306122448979591,Transformer
132,0.162385,0.0,0.35507,2,0.5306122448979591,Transformer
133,0.189315,0.00015,0.39083,3,0.5306122448979591,Transformer
134,0.15943,0.0,0.356925,4,0.5306122448979591,Transformer
135,0.141365,0.0,0.325355,0,0.5510204081632653,Transformer
136,0.15886,0.0001,0.361855,1,0.5510204081632653,Transformer
137,0.175965,5e-05,0.372635,2,0.5510204081632653,Transformer
138,0.187215,5e-05,0.400305,3,0.5510204081632653,Transformer
139,0.181785,5e-05,0.385215,4,0.5510204081632653,Transformer
140,0.197555,5e-05,0.400235,0,0.5714285714285714,Transformer
141,0.195745,0.0,0.40053,1,0.5714285714285714,Transformer
142,0.180225,5e-05,0.38854,2,0.5714285714285714,Transformer
143,0.178565,0.0001,0.381915,3,0.5714285714285714,Transformer
144,0.1656,0.0,0.362775,4,0.5714285714285714,Transformer
145,0.158585,5e-05,0.35971,0,0.5918367346938775,Transformer
146,0.13117,0.0,0.333855,1,0.5918367346938775,Transformer
147,0.156825,0.0,0.35687,2,0.5918367346938775,Transformer
148,0.14201,0.0,0.33677,3,0.5918367346938775,Transformer
149,0.154745,0.0,0.36191,4,0.5918367346938775,Transformer
150,0.150585,0.0,0.34324,0,0.6122448979591836,Transformer
151,0.167305,0.0,0.369905,1,0.6122448979591836,Transformer
152,0.16422,5e-05,0.369005,2,0.6122448979591836,Transformer
153,0.160835,0.0,0.360225,3,0.6122448979591836,Transformer
154,0.15317,0.0,0.355695,4,0.6122448979591836,Transformer
155,0.154,0.0,0.34529,0,0.6326530612244897,Transformer
156,0.145755,0.0,0.337695,1,0.6326530612244897,Transformer
157,0.16165,0.0,0.359525,2,0.6326530612244897,Transformer
158,0.153935,0.0,0.341775,3,0.6326530612244897,Transformer
159,0.177605,0.0,0.385305,4,0.6326530612244897,Transformer
160,0.143605,0.0,0.344155,0,0.6530612244897959,Transformer
161,0.136605,0.0,0.33362,1,0.6530612244897959,Transformer
162,0.14598,5e-05,0.35022,2,0.6530612244897959,Transformer
163,0.1429,0.0,0.34526,3,0.6530612244897959,Transformer
164,0.127935,0.0,0.323465,4,0.6530612244897959,Transformer
165,0.119825,0.0,0.30818,0,0.673469387755102,Transformer
