,elementwise_accuracy,full_sequence_accuracy,teacher_forcing_accuracy,trial,noise level,model
84,0.23565,0.0004,0.44246,4,0.32653061224489793,Transformer
85,0.22831,0.00025,0.42742,0,0.3469387755102041,Transformer
86,0.23758,0.0019,0.4517,1,0.3469387755102041,Transformer
87,0.30733,0.00195,0.507705,2,0.3469387755102041,Transformer
88,0.2616,0.0039,0.501565,3,0.3469387755102041,Transformer
89,0.21627,0.00045,0.425725,4,0.3469387755102041,Transformer
90,0.376195,0.01225,0.59098,0,0.36734693877551017,Transformer
91,0.23952,0.00045,0.47427,1,0.36734693877551017,Transformer
92,0.301025,0.0014,0.51109,2,0.36734693877551017,Transformer
93,0.27828,0.0023,0.474625,3,0.36734693877551017,Transformer
94,0.27776,0.0017,0.502445,4,0.36734693877551017,Transformer
95,0.247895,0.00095,0.466495,0,0.3877551020408163,Transformer
96,0.30019,0.0014,0.514235,1,0.3877551020408163,Transformer
97,0.247655,0.0005,0.46136,2,0.3877551020408163,Transformer
98,0.222855,0.00035,0.4162,3,0.3877551020408163,Transformer
99,0.2539,0.00125,0.44804,4,0.3877551020408163,Transformer
100,0.305225,0.00285,0.507945,0,0.4081632653061224,Transformer
101,0.234255,0.0007,0.44441,1,0.4081632653061224,Transformer
102,0.152685,5e-05,0.35588,2,0.4081632653061224,Transformer
103,0.21377,0.00015,0.4179,3,0.4081632653061224,Transformer
104,0.22572,0.0003,0.425725,4,0.4081632653061224,Transformer
105,0.180305,0.0,0.37404,0,0.42857142857142855,Transformer
106,0.206785,0.0002,0.41136,1,0.42857142857142855,Transformer
107,0.23068,0.0004,0.443605,2,0.42857142857142855,Transformer
108,0.241945,0.0006,0.445175,3,0.42857142857142855,Transformer
109,0.18367,0.0002,0.380525,4,0.42857142857142855,Transformer
110,0.21194,5e-05,0.42221,0,0.44897959183673464,Transformer
111,0.199115,5e-05,0.406195,1,0.44897959183673464,Transformer
112,0.230075,0.00035,0.42097,2,0.44897959183673464,Transformer
113,0.193255,5e-05,0.3863,3,0.44897959183673464,Transformer
114,0.1811,0.00025,0.38809,4,0.44897959183673464,Transformer
115,0.187295,0.0001,0.386365,0,0.4693877551020408,Transformer
116,0.1526,5e-05,0.360265,1,0.4693877551020408,Transformer
117,0.188125,0.0,0.382395,2,0.4693877551020408,Transformer
118,0.13504,0.0,0.32021,3,0.4693877551020408,Transformer
119,0.215725,0.00025,0.42038,4,0.4693877551020408,Transformer
120,0.21304,0.00015,0.422115,0,0.4897959183673469,Transformer
121,0.23405,0.0001,0.433195,1,0.4897959183673469,Transformer
122,0.160335,0.0,0.35535,2,0.4897959183673469,Transformer
123,0.20239,0.0,0.40224,3,0.4897959183673469,Transformer
124,0.201555,5e-05,0.408565,4,0.4897959183673469,Transformer
125,0.155905,0.00015,0.35521,0,0.5102040816326531,Transformer
126,0.206625,5e-05,0.409555,1,0.5102040816326531,Transformer
127,0.22623,0.0005,0.43332,2,0.5102040816326531,Transformer
128,0.16997,5e-05,0.374915,3,0.5102040816326531,Transformer
129,0.13742,5e-05,0.32896,4,0.5102040816326531,Transformer
130,0.146205,0.0,0.33638,0,0.5306122448979591,Transformer
131,0.181315,0.0001,0.374525,1,0.5306122448979591,Transformer
132,0.19454,5e-05,0.390395,2,0.5306122448979591,Transformer
133,0.193195,0.0001,0.39666,3,0.5306122448979591,Transformer
134,0.17721,5e-05,0.374175,4,0.5306122448979591,Transformer
135,0.15743,5e-05,0.338355,0,0.5510204081632653,Transformer
136,0.175715,0.0,0.36895,1,0.5510204081632653,Transformer
137,0.157825,5e-05,0.355375,2,0.5510204081632653,Transformer
138,0.157255,0.0,0.348895,3,0.5510204081632653,Transformer
139,0.16743,5e-05,0.37382,4,0.5510204081632653,Transformer
140,0.18932,0.0,0.3834,0,0.5714285714285714,Transformer
141,0.175405,0.0,0.378,1,0.5714285714285714,Transformer
142,0.14894,0.0,0.33963,2,0.5714285714285714,Transformer
143,0.178105,0.0,0.36662,3,0.5714285714285714,Transformer
144,0.19627,0.0,0.380035,4,0.5714285714285714,Transformer
145,0.17431,5e-05,0.373415,0,0.5918367346938775,Transformer
146,0.13808,0.0,0.33877,1,0.5918367346938775,Transformer
