,loss,binary_accuracy,group,train_size,trial
0,0.7718108296394348,0.5099149942398071,abstractor,5,0
1,0.8213117718696594,0.4518413543701172,abstractor,5,1
2,0.7853074669837952,0.47875353693962097,abstractor,5,2
3,0.7856841087341309,0.522662878036499,abstractor,5,3
4,0.7611972093582153,0.48087817430496216,abstractor,5,4
5,0.7898926138877869,0.4971671402454376,abstractor,5,5
6,0.8301525712013245,0.49220964312553406,abstractor,5,6
7,0.7816817164421082,0.4766288995742798,abstractor,5,7
8,1.0794652700424194,0.5205382704734802,abstractor,5,8
9,0.7769606709480286,0.5651558041572571,abstractor,5,9
10,0.6570572853088379,0.6225212216377258,abstractor,100,0
11,0.6495996117591858,0.6196883916854858,abstractor,100,1
12,0.6914966702461243,0.5665722489356995,abstractor,100,2
13,0.6809897422790527,0.577903687953949,abstractor,100,3
14,0.7112609148025513,0.5771954655647278,abstractor,100,4
15,0.6909310221672058,0.5899433493614197,abstractor,100,5
16,0.7108576893806458,0.5056657195091248,abstractor,100,6
17,0.7343853116035461,0.5077903866767883,abstractor,100,7
18,0.7079145908355713,0.5814447402954102,abstractor,100,8
19,0.7388778328895569,0.5247875452041626,abstractor,100,9
20,0.7178441882133484,0.5439093708992004,abstractor,200,0
21,0.6765386462211609,0.6218130588531494,abstractor,200,1
22,0.7058073282241821,0.5084986090660095,abstractor,200,2
23,0.6898755431175232,0.580736517906189,abstractor,200,3
24,0.5903968811035156,0.7067988514900208,abstractor,200,4
25,0.7041937112808228,0.5524079203605652,abstractor,200,5
26,0.6027228236198425,0.669263482093811,abstractor,200,6
27,0.6442016363143921,0.6444759368896484,abstractor,200,7
28,0.696516215801239,0.5835694074630737,abstractor,200,8
29,0.6246576309204102,0.6607648730278015,abstractor,200,9
30,0.5397793650627136,0.7422096133232117,abstractor,500,0
31,0.40494847297668457,0.8179886937141418,abstractor,500,1
32,0.4835655987262726,0.769830048084259,abstractor,500,2
33,0.3273896276950836,0.8484418988227844,abstractor,500,3
34,0.5220465660095215,0.7592067718505859,abstractor,500,4
35,0.6082094311714172,0.6954674124717712,abstractor,500,5
36,0.39229127764701843,0.821529746055603,abstractor,500,6
37,0.3400767743587494,0.8364022374153137,abstractor,500,7
38,0.5029557943344116,0.7620396614074707,abstractor,500,8
39,0.6645637154579163,0.7060906291007996,abstractor,500,9
40,0.3091442286968231,0.8682719469070435,abstractor,1000,0
41,0.2824663817882538,0.8831444978713989,abstractor,1000,1
42,0.3322138488292694,0.870396614074707,abstractor,1000,2
43,0.2801635265350342,0.8774787783622742,abstractor,1000,3
44,0.2752690613269806,0.8753541111946106,abstractor,1000,4
45,0.27589794993400574,0.8696883916854858,abstractor,1000,5
46,0.3947323262691498,0.8498583436012268,abstractor,1000,6
47,0.26688912510871887,0.8881019949913025,abstractor,1000,7
48,0.23096418380737305,0.905807375907898,abstractor,1000,8
49,0.3037389814853668,0.8661472797393799,abstractor,1000,9
50,0.2233801782131195,0.9050991535186768,abstractor,1500,0
51,0.227835550904274,0.9121813178062439,abstractor,1500,1
52,0.22585906088352203,0.9050991535186768,abstractor,1500,2
53,0.23368173837661743,0.8888102173805237,abstractor,1500,3
54,0.33687230944633484,0.8562322854995728,abstractor,1500,4
55,0.2268356829881668,0.8937677145004272,abstractor,1500,5
56,0.2355298548936844,0.9121813178062439,abstractor,1500,6
57,0.29010769724845886,0.8611897826194763,abstractor,1500,7
58,0.1787169724702835,0.9185552597045898,abstractor,1500,8
59,0.1690058708190918,0.922096312046051,abstractor,1500,9
60,0.20173534750938416,0.9171388149261475,abstractor,2015,0
61,0.17161571979522705,0.9277620315551758,abstractor,2015,1
62,0.23640815913677216,0.902266263961792,abstractor,2015,2
63,0.20188678801059723,0.9235127568244934,abstractor,2015,3
64,0.20936234295368195,0.9050991535186768,abstractor,2015,4
65,0.19008095562458038,0.9150141477584839,abstractor,2015,5
66,0.1457241326570511,0.9405099153518677,abstractor,2015,6
67,0.17972491681575775,0.9256373643875122,abstractor,2015,7
68,0.22249247133731842,0.9029744863510132,abstractor,2015,8
69,0.15987984836101532,0.9298866987228394,abstractor,2015,9
0,0.6940453052520752,0.47946175932884216,mlp,5,0
1,0.8056699633598328,0.47946175932884216,mlp,5,1
2,0.6946510076522827,0.47946175932884216,mlp,5,2
3,0.7046211957931519,0.47946175932884216,mlp,5,3
4,0.6929627656936646,0.5205382704734802,mlp,5,4
5,0.7118706703186035,0.47946175932884216,mlp,5,5
6,0.6947593092918396,0.5205382704734802,mlp,5,6
7,0.7130336165428162,0.47875353693962097,mlp,5,7
8,0.7233311533927917,0.5205382704734802,mlp,5,8
9,0.716744065284729,0.47946175932884216,mlp,5,9
10,0.6931266188621521,0.5205382704734802,mlp,100,0
11,0.6934950351715088,0.47946175932884216,mlp,100,1
12,0.70637047290802,0.47946175932884216,mlp,100,2
13,0.6922687888145447,0.5212464332580566,mlp,100,3
14,0.7467043399810791,0.47946175932884216,mlp,100,4
15,0.6959373354911804,0.47875353693962097,mlp,100,5
16,0.7049947381019592,0.47946175932884216,mlp,100,6
17,0.7002025842666626,0.477337121963501,mlp,100,7
18,0.6941533088684082,0.47946175932884216,mlp,100,8
19,0.6923011541366577,0.5205382704734802,mlp,100,9
20,0.6937692761421204,0.48016998171806335,mlp,200,0
21,0.6994757652282715,0.5205382704734802,mlp,200,1
22,0.693088710308075,0.5205382704734802,mlp,200,2
23,0.6945028901100159,0.5205382704734802,mlp,200,3
24,0.7006645202636719,0.47946175932884216,mlp,200,4
25,0.7094714641571045,0.47946175932884216,mlp,200,5
26,0.6933974027633667,0.5205382704734802,mlp,200,6
27,0.6944418549537659,0.5205382704734802,mlp,200,7
